               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.040283,            0.046579,            0.004013,             0.65135,             0.51351,             0.55978,             0.36068,            0.039992,            0.038634,           0.0078367,            0.070017,           0.0033315,           0.0033315
                   1,            0.040279,            0.046082,           0.0037663,             0.62025,             0.50556,              0.5417,              0.3451,            0.041066,            0.039414,           0.0090175,            0.039687,           0.0063349,           0.0063349
                   2,            0.041669,            0.047022,           0.0039013,             0.58814,             0.46291,             0.48431,             0.29721,            0.042381,            0.041163,            0.011003,            0.009027,           0.0090083,           0.0090083
                   3,            0.043054,            0.048229,           0.0055691,             0.59391,             0.44994,             0.50765,             0.31376,            0.042344,            0.040474,            0.011027,            0.008515,            0.008515,            0.008515
                   4,             0.04397,            0.050397,           0.0069061,             0.59246,             0.43338,             0.47834,              0.2949,            0.043503,            0.040531,            0.010462,            0.008515,            0.008515,            0.008515
                   5,            0.043566,            0.050067,            0.006794,             0.58206,              0.4686,             0.50618,             0.30927,            0.042618,            0.039911,           0.0097944,             0.00802,             0.00802,             0.00802
                   6,            0.043365,            0.049646,           0.0066589,             0.61624,             0.47358,             0.51855,             0.33049,            0.041615,            0.039583,           0.0092846,            0.007525,            0.007525,            0.007525
                   7,            0.042688,            0.049432,           0.0058421,             0.58893,             0.45798,             0.51536,              0.3261,            0.041938,            0.039508,            0.010025,             0.00703,             0.00703,             0.00703
                   8,            0.042317,             0.04859,           0.0054638,             0.60102,             0.46075,             0.50447,             0.31393,            0.042345,            0.039496,           0.0097203,            0.006535,            0.006535,            0.006535
                   9,            0.042413,            0.048571,           0.0050192,             0.61838,             0.48219,             0.53583,             0.33848,            0.041813,            0.039611,           0.0098469,             0.00604,             0.00604,             0.00604
                  10,            0.042078,            0.048366,           0.0050603,             0.63863,             0.47932,             0.54104,             0.34822,            0.040998,            0.039404,           0.0084415,            0.005545,            0.005545,            0.005545
                  11,            0.041787,             0.04774,           0.0045396,             0.61771,             0.52087,             0.54833,             0.34598,            0.040879,            0.039538,           0.0088223,             0.00505,             0.00505,             0.00505
                  12,            0.041148,            0.047313,           0.0046694,             0.63496,             0.50977,             0.56262,             0.35852,             0.04114,            0.039474,           0.0079788,            0.004555,            0.004555,            0.004555
                  13,            0.041113,            0.047376,           0.0042917,             0.64921,             0.53152,             0.56415,             0.36061,            0.040974,            0.039437,            0.008553,             0.00406,             0.00406,             0.00406
                  14,            0.040817,            0.047035,            0.004117,             0.62329,             0.53665,             0.55902,             0.35601,            0.040805,            0.039195,            0.007405,            0.003565,            0.003565,            0.003565
                  15,            0.040059,            0.045623,           0.0036422,             0.62755,             0.52562,              0.5565,             0.35776,            0.040313,             0.03917,           0.0072199,             0.00307,             0.00307,             0.00307
                  16,            0.040186,            0.045619,           0.0038302,             0.64701,             0.53606,             0.56024,             0.36072,            0.040179,            0.038692,           0.0073181,            0.002575,            0.002575,            0.002575
                  17,            0.039708,            0.045431,           0.0037333,             0.63127,             0.52579,             0.56355,             0.36455,            0.040059,            0.038909,            0.007428,             0.00208,             0.00208,             0.00208
                  18,            0.039614,            0.046233,           0.0038225,             0.64438,             0.53444,              0.5698,             0.37117,            0.039787,            0.038591,           0.0075438,            0.001585,            0.001585,            0.001585
                  19,            0.040225,            0.046815,           0.0042455,              0.6689,             0.52234,             0.56977,             0.36859,            0.039971,            0.038717,           0.0074232,             0.00109,             0.00109,             0.00109
